1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
AFFX-r2-TagIN-3_at-AFFX-r2-TagJ-3_at	YLR345W-FBP26	YBR225W-RIM101	PRE10-RPT1	HXT11-IMA2	MRP1-MRPS9	FAD1-VPS60	ARG2-ORT1	ARN1-SIT1	AGA2-MFA2	YLR466C-B-YLL066W-B	ZPS1-ZRT1	YJL052C-A-YOR268C	RGP1-HRQ1	PRP3-TFB3	PAU5-PAU17	AOS1-VPS4	DMA2-THI20	QCR7-COX6	CSG2-YLR241W	YGL108C-MFT1	OSH3-GSG1	POL1-PDS5	YLR040C-SAG1	YND1-SMP3	SER1-ADE12	SSS1-VMA10	RPL18A-RPL2A	TPS1-RIM11	HAL5-AYT1	BBP1-YCS4	KGD2-KGD1	AAD16-FLR1	YBL010C-CSM3	YER138W-A-RPTR-Sc-J01347-2_at	GDE1-CRG1	CST6-YOL087C	SAN1-SKN7	CTS1-EGT2	DCS2-MSC1	TOS1-SRL1	ERG10-ERG1	GAL1-GCY1	RPB2-FUN12	TCM62-GUF1	PNO1-TRM2	YOX1-CLN1	YGL117W-TMT1	PSP2-NSE4	GPA1-STE4	LYS21-LYS12	VTC1-VTC3	RPF2-BRX1	CUP5-TEF1	MET10-MET1	RPS24A-RPL20A	MRP17-MRPL9	YDR261W-B-YDR316W-B	1770541_at-CGR1	AFFX-ThrX-3_at-AFFX-ThrX-M_at	CAT2-IDP2	VPS16-VPS52	ACF4-OKP1	GNP1-YER064C	HXT13-HXT17	TOA1-APL5	AFFX-18srRnab_at-AFFX-18srRnaa_at	YOR365C-GAS4	SPT10-PRP18	TCO89-YML020W	CDC5-HST3	APE2-RCK2
39	86	430	183	8	65	52	9	21	9	36	7	64	50	169	45	40	21	53	254	26	113	35	8	160	19	239	13	104	24	38	48	37	27	20	7	30	6	27	136	20	45	14	524	59	52	11	7	21	34	28	16	263	775	30	56	83	10	9	15	90	57	10	9	18	114	11	148	77	232	41	118
362	906	4058	2778	42	768	478	64	162	152	268	42	716	508	1780	624	526	162	896	2532	194	1032	330	66	1418	270	2454	300	1204	268	310	508	306	190	166	36	310	54	292	1566	218	522	120	5672	582	546	102	36	168	364	230	136	3424	9534	362	1032	1202	108	58	242	1114	480	56	52	136	1198	190	1496	834	2436	362	1400
AFFX-r2-Ec-bioB-3_at	YGL258W-A	ARR1	ADD37	HXT11	AIM39	CAK1	CAF16	ARN1	AGA2	STP22	VEL1	YHR007C-A	MGM1	CSN9	ANB1	HIT1	BIO3	ATG10	LEU2	EAF5	FKH2	ASF1	HMLALPHA1	PRM10	ADE3	CIN4	RPL2A	DAN4	AAD3	CTF18	CIT2	YDL180W	KCC4	BRR6	CRG1	DOA4	ALR1	AMN1	HVG1	PRY2	CYB5	GAL1	HTL1	GLG2	BCD1	MCD1	SNO1	NSE4	ICS2	1770455_at	PHO11	PXR1	CTR1	MET1	RPL26B	ATP23	YAR010C	1770541_at	AFFX-ThrX-M_at	DIA3	RRN3	ACF4	BAP2	HXT13	CTR9	AFFX-18srRnaa_at	HOP2	YML003W	RGS2	CLB3	COX5B
AFFX-r2-Ec-bioB-5_at	YPS5	SGE1	LCL2	IMA2	CBP4	LSB5	ERV1	CCC2	MFA2	VRP1	YOR387C	YOR161C-C	RAD1	SLK19	TIR1	YJR056C	BIO4	GEP7	MET17	MFT1	SPP41	CDC21	MF(ALPHA)1	YJL107C	SER1	CTF8	RPS4A	GDB1	RDS1	RTT107	YPR036W-A	YGL114W	SPT21	COS1	SRL3	NTH2	SKN7	EGT2	YER039C-A	SVS1	SCM4	GAL3	YOR304C-A	SIP2	BUD27	NRM1	SNZ1	PSP2	RME1	ARG1	VTC3	TMA23	FRE1	RAD59	RPS7A	RIM2	YDR316W-B	EFG1	AFFX-r2-Bs-phe-5_at	SGA1	SLP1	IVY1	GNP1	HXT17	MAD1	AFFX-18srRnac_at	SAE3	YOR376W-A	YOR338W	CLB4	ICY1
AFFX-Scv2-r2-Ec-bioD-5_at	MAG1	YOL047C	RBA50	YNL146W	AIM22	NHP10	ARG2	SIT1	STE2	ASP3-1	RTC4	ECM11	HRQ1	CSI1	PAU17	AOS1	DMA2	AIM13	HXT3	RRN9	BIK1	ALK2	SAG1	FCY21	SHM2	GIM4	RPL18A	APC9	AAD15	CET1	AGP3	CFD1	SPC29	RPTR-Sc-J01347-1_s_at	KDX1	CST6	SAN1	CTS1	ARO10	SRL1	CDS1	YEL057C	GLT1	DIA4	PNO1	YHP1	SRY1	HEM3	AGA1	LYS1	PHO81	BUD22	BNA1	MET10	RPL21A	MRP13	YDR261C-D	YBL028C	AFFX-ThrX-3_at	FKS3	REV7	IRC6	GLY1	DSF1	BUR6	AFFX-25srRnae_at	RRT5	SIP5	CDC27	CDC5	ATG11
AFFX-r2-TagIN-M_at	YKR011C	YPR078C	ROX3	LIN1	MSS2	TIM21	YNL311C	VMR1	MFA1	YLR156W	ZAP1	RNP1	PRP40	RAD17	PAU23	MLC2	THI20	AIM24	MIG2	FMP32	CAF4	SKG6	YLR040C	FCY22	1778252_at	PFD1	RPL7A	DCN1	AYT1	PCF11	YFL054C	ATR1	YMR144W	RPTR-Sc-J01347-2_at	GDE1	YOL087C	DMA1	SCW11	ARO9	CIS3	CHO1	GCY1	URA2	YGR021W	TRM2	CLN2	TMT1	HOS2	FUS1	ARG3	VTC4	JJJ1	BNA6	MET3	RPS18A	MRPL11	YDR261W-B	CGR1	AFFX-r2-Bs-phe-M_at	REC8	SNU23	KAR3	TAT2	HXT15	PAR32	AFFX-18srRnad_at	SPO19	YPT35	LRE1	SWI5	KIC1
RPTR-Sc-M10961-4_at	IPK1	SMP1	IRC20	HFM1	MSS1	MTG1	STR2	FRE6	STE6	MST27	ZPS1	YHR086W-A	APL2	ENT1	PAU10	RPO26	THI6	COX12	DAL1	YGL108C	CDC23	SHO1	STE3	BUD31	ADE13	DAD2	RPS2	FAR7	HAL5	BBP1	ACH1	AAD16	DBF4	RPTR-Sc-J01347-4_at	LCB5	MSN1	SCH9	DSE3	DDR2	TOS1	ERG11	GAL2	APL3	SHE9	RRP6	YOX1	ADH5	BRN1	PRM1	ARG8	VTC1	GFD2	LHS1	MET5	RPL35A	COA3	YAR009C	SSF1	AFFX-r2-Bs-thr-3_s_at	AMA1	JJJ2	OKP1	YER064C	HXT8	DSN1	AFFX-18srRnab_at	ECM8	ATG29	ABP140	ACE2	SCO2
AFFX-r2-TagJ-3_at	YKU70	CKI1	PDR1	FIG4	MRP1	TAP42	ORT1	FET3	ASG7	PRM8	ZRT1	YMR272W-B	RGP1	VPS5	FHN1	BER1	THI21	QCR7	DAL4	SMB1	DNA2	POL1	MF(ALPHA)2	POP3	ADE1	DAD3	RPS6A	RTR1	ENA1	SWE1	GUT1	FLR1	YBL010C	RPTR-Sc-J01347-3_at	SSK22	PSK1	SOH1	ASH1	HSP12	PRO3	ERG25	GAL10	RSE1	ARH1	UBP10	CLN1	YGL117W	CPD1	GPA1	CPA1	PHO86	PRM7	SIL1	MET14	RPL11A	MRPS12	COS6	MAK16	AFFX-r2-Bs-thr-M_s_at	ATO2	RRG1	KIP1	TAT1	UTR5	RSC8	AFFX-25srRnaa_at	LOH1	SAE2	CRN1	HST3	SCS22
AFFX-r2-TagQ-5_at	EMI2	YLR132C	VID27	YGR153W	MSC6	FAR10	NIT1	FIT3	YNL146C-A	YLL066W-B	ADH4	MER1	DSL1	BRE2	PAU2	VPS4	THI2	COX6	CHS1	IES4	MEC3	SMC1	HMLALPHA2	ENT4	ADE12	CDC11	RPL5	FMP21	EHD3	SPC97	KGD1	GTT2	SPC42	RPTR-Sc-U46493-1_s_at	YNR065C	KKQ8		SUN4	HSP104	TUB2	ERG10	GAL7	ECM29	MSW1	NOB1	CSI2	ICY2	ETP1	STE18	LYS21	SPL2	IBD2	AIM43	MUP3	RPL20A	MRP17	YIL082W-A	FYV7	AFFX-r2-Bs-dap-M_at	CAT2	CBS1	PCL6	BAT2	YNR071C	EAF6	AFFX-25srRnad_at	RRT12	SWC7	ROM2	TEM1	HSV2
